slug,famous,dod
F0539,Bujayr bin Abi Bujayr,
F0541,Burayda bint Bishr bin al-Harith,
F0542,Burdha' bin Zayd bin al-Nu'man,
F0543,Bushra bint Mulayl bin Wabara,
F0544,Busra bint Safwan bin Nawfal,
F0545,Buthayna bint al-Nu'man bin 'Amr,
F0546,Buzay'a bint Abi Kharija bin Aws,
F0548,Damra bin Ka'b bin 'Amr,625
F0550,Darar bin al-Khattab,
F0551,Darar bin Maqrn al-Mazni,
F0553,Dawud al-Kayseri,1350
F0555,Dhafra bint Ghalib al-Rasiyya,
F0556,Dhakwan bin 'Abdu Qays bin Khalada,625
F0557,Dhakwan or Kisan or Tahman or Mihran,
F0558,Dhu'l-Shimalyn 'Umair bin 'Abd 'Amr,624
F0561,Duba'a bint 'Amr bin Mihsan,
F0562,Duba'a bint 'Amr bin Qurat,
F0563,Duba'a bint al-Zubayr,
F0564,Dubayya bint Thabit bin Khalid,
F0565,Durrah bint Abi Lahab,
F0566,Durrah bintt Abi Salamah,
F0569,Fadala bin 'Ubaid bin Naqid,673
F0570,Fadalah wife of 'Abdullah bin 'Unays,670
F0571,Fadl ibn al-'Abbas,639
F0573,Fakayha bint Yasar,
F0576,Faligh ibn Abir,-1450
F0577,Faree'ah bint Malik,
F0578,Fari'a bint bint Thabit,
F0579,Fari'a bint Mu'awwidh bin 'Afra',
F0583,Fatima bint 'Amr bin Haram,
F0584,Fatima bint 'Utba b. Rabi'a,
F0585,Fatima bint Abi Hubaysh,
F0587,Fatima bint al-Harith bin Khalid,
F0590,Fatima bint al-Munthir,733
F0591,Fatima bint al-Walid b. al-Mughirah,
F0592,Fatima bint al-Yaman,
F0594,Fatima bint Munqidh bin 'Amr,
F0596,Fatima bint Shayba bin Rabi'a,
F0597,Fatima bint Sufwan,
F0598,Fatima of Nishapur,838
F0604,Firas bin al-Nadr b al-Harith,636
F0605,Firdowsi,1020
F0607,Fudayl ibn Iyad,803
F0608,Fukayha bint 'Ubayd b. Dulaim,
F0609,Fukayha bint al-Muttalib bin Khalada,
F0610,Fukayha bint al-Sakan bin Zayd,
F0611,Furay'a bint 'Amr b. Khunays,
F0612,Fushum bint Aws bin Khawli,
F0614,Galib Dede,1799
F0617,Gesu Daraz,1422
F0619,Ghaziyah bin 'Amr Mazni,
F0620,Ghaziyya bint Sa'd ibn Khalifa,
F0623,Habib bin 'Amr bin Mihsan,634
F0624,Habib bin al-Aswad,
F0625,Habib bin Taym,625
F0626,Habib bin Zaid Mazni,632
F0627,Habiba bint Abi Tajra,
F0628,Habiba bint As'ad bin Zurara,
F0629,Habiba bint Kharijah ibn Zayd,
F0630,Habiba bint Mas'ud bin Aws,
F0631,Habiba bint Mas'ud bin Khalada,
F0632,Habiba bint Mu'attab bin 'Ubaid,
F0633,Habiba bint Mulayl bin Wabara,
F0634,Habiba bint Qays bin Zayd,
F0635,Habiba bint Sahl,650
F0636,Habiba bint Shareeq,
F0637,Habiba bint Sharik ibn Anas,
F0639,Habta bin Jubayr,
F0641,Hafsa bint bin Hatib bin 'Amr,
F0646,Hakim al-Tirmidhi,910
F0647,Halima/Jamila bint 'Urwa bin Mas'ud,
F0648,Hamid al-Din Nagori,1274
F0649,Hamnah bint Jahsh,
F0650,Hamza bin al-Humayyir,
F0653,Hanzala bin Abi 'Amir al-Rahib,625
F0654,Hanzala bin al-Rabi' al-Usaydi,
F0658,Harith bin Abi Sa'sa'a,634
F0659,Harith bin Qays bin Khalid,634
F0660,Haritha bin al-Nu'man,
F0661,Haritha bin Suraqa,624
F0662,Harmala bint 'Abd bin al-Aswad,
F0670,Hasana bint Thabit,
F0673,Hatib bin 'Amr,
F0675,Hatib bin al-Harith bin Ma'mar,
F0676,Hattab bin Harith bin Ma'mar,
F0678,Hawwa' bint Rafi',
F0679,Hawwa' bint Yazid bin al-Sakan,
F0680,Hdhyfh bin Asyd,
F0681,Hind bint 'Amr bin al-Jamuh bin Zayd,
F0682,Hind bint 'Amr bin Haram,
F0683,Hind bint 'Uqba,
F0684,Hind bint al-Bara' bin Ma'rur,
F0685,Hind bint al-Hakam bin Abi al-'As,
F0686,Hind bint al-Mundhir,
F0687,Hind bint al-Muqawwim,
F0688,Hind bint Awf al-Himyariyya,
F0689,Hind bint Aws bin 'Adi,
F0690,Hind bint Mahmud bin Maslama,
F0691,Hind bint Sahl bin Zayd,
F0692,Hind bint Samak bin 'Atik,
F0694,Hisham bin Abu Hudhayfa,
F0695,Hisham Djait,2025
